id_invoice,issuedDate,address,company,companyEmail,country,contact,name,service,total,discount,tax,invoiceStatus,balance,dueDate,client
10,2023-05-30,"63678 Melissa Plain Apt. 348, West Renee, MS 08840",Moreno Group,ocampos@peterson.com,Jersey,+1-672-955-7469x108,Brandon Mcdowell,AI Solution,8159.65,58.91,58.59,Overdue,8159.33,2023-06-12,Company B
87,2023-02-11,"291 Webster Route Apt. 445, New Angela, NJ 45024",Santiago-Oneal,fhall@berry.com,Bahamas,676.498.3717x821,Nancy Hobbs,IoT Solution,7031.35,981.19,189.2,Overdue,6239.36,2023-02-28,Company E
68,2023-02-09,"19743 Jones Mission Suite 255, Andrewland, WA 86747",Green-Hughes,kenneth91@brown-ramsey.com,Benin,+1-827-750-8994x051,Todd Oliver,E-commerce Development,3359.14,145.54,23.47,Overdue,3237.07,2023-03-01,Company B
10,2022-12-23,"359 Emily Overpass, Moorehaven, VT 52776",Brown LLC,dbrewer@thompson.info,Guinea-Bissau,001-689-364-1499x11629,Shaun Chavez,Web Development,2916.68,562.83,115.42,Paid,2469.27,2023-01-21,Company C
94,2022-07-22,"84927 Anderson Haven Apt. 132, Kramerside, HI 08589","Austin, Marshall and Smith",michael04@davis-francis.com,San Marino,001-792-468-8836x4672,Charlotte Wilson,IoT Solution,3646.13,450.64,203.42,Pending,3398.91,2022-08-03,Company B
4,2022-11-17,"457 Julie Plains, Lake John, ME 56861","Diaz, Hill and Cox",aaronvasquez@davenport.com,Ecuador,405.754.2372x31328,Rita Green MD,IoT Solution,6644.09,748.21,518.42,Overdue,6414.3,2022-12-09,Company B
46,2022-08-29,"PSC 7298, Box 0689, APO AA 92023",Wells-Clark,yhernandez@davis.info,Holy See (Vatican City State),989-775-3343x634,Kyle Vaughan,Web Development,1810.78,181.63,160.45,Overdue,1789.6,2022-09-18,Company C
91,2023-07-06,"9694 Hughes Mission Apt. 697, Janehaven, MS 82478",Young-Anderson,brittany36@green-crosby.org,Bangladesh,479.502.9026x16129,Mark Finley,IoT Solution,7919.06,659.93,0.43,Pending,7259.56,2023-07-17,Company B
24,2023-04-24,"428 Edwards Expressway Apt. 070, West Sean, PR 37972",Campos Ltd,matthew01@rhodes.net,Heard Island and McDonald Islands,(883)811-9510,John Martin,AI Solution,5060.75,499.96,44.11,Overdue,4604.9,2023-05-09,Company C
9,2022-12-10,"256 Nancy Trail, Washingtonfort, OK 61754",Robinson-Riggs,fsmith@stanley.com,Gambia,(739)590-9433,Andrew Daniel,AI Solution,4709.49,69.11,359.81,Overdue,5000.19,2023-01-02,Company E
85,2023-07-10,"74325 Matthew Squares Apt. 909, Larsonchester, WI 31088",Owens-Martin,zpatel@turner.com,Nepal,968-327-9697,Michelle Neal,IoT Solution,5792.69,877.32,417.89,Pending,5333.26,2023-08-05,Company C
2,2023-02-28,"68997 Kayla Port, Sandrastad, DE 01522",Rivera and Sons,russelljennings@frye-decker.com,Slovenia,508-469-8600x128,Wesley Ortiz,Mobile App Development,1121.55,200.88,9.39,Paid,930.06,2023-03-17,Company B
95,2023-04-15,"41188 Diaz Divide, Melissafort, ND 40509","Thomas, Johnson and Barker",tmurphy@fisher.info,Greece,+1-566-440-1136x685,Mitchell Torres,IoT Solution,7320.68,947.72,124.94,Overdue,6497.9,2023-05-11,Company C
46,2023-04-07,"5027 Odonnell Courts, Waltonside, DE 28043","Harris, Barron and Perez",emily65@barron.com,Latvia,367.930.3376,Carla Hancock,IoT Solution,7411.28,1297.78,733.04,Overdue,6846.54,2023-04-14,Company C
40,2022-09-21,"9257 Carrie Ferry Apt. 956, Davismouth, CA 89616","Jordan, Cohen and Johnson",mark02@leonard.net,Saint Kitts and Nevis,001-297-286-0933x0083,Curtis Walter,Web Development,1762.39,38.37,73.91,Overdue,1797.93,2022-10-02,Company D
37,2023-03-28,"USS Bridges, FPO AP 61651","Clark, Lee and Patterson",heidi50@ortiz.info,Cambodia,685-471-0710,Jordan Day PhD,Web Development,2149.06,301.7,146.32,Pending,1993.68,2023-04-20,Company C
49,2022-12-25,"08247 Walker Circles Suite 716, Port Lisaberg, WA 33472","Waller, Thompson and Stevens",fieldsjames@taylor-miller.com,Morocco,267-756-8455x70682,Louis Maynard,E-commerce Development,2200.33,123.07,187.67,Paid,2264.93,2023-01-08,Company B
93,2023-06-05,"PSC 1145, Box 9350, APO AP 76062","Rowe, Oliver and Woodard",hernandezlindsey@bryant.net,New Caledonia,(511)784-5516x99536,Ian Stein DDS,Web Development,1991.62,299.44,70.09,Pending,1762.27,2023-06-29,Company C
31,2023-02-02,"298 Nancy Crossroad, North Jonathonton, WA 21444",Ponce-Moore,mzavala@osborne-brown.com,Germany,(729)952-3181x270,Ashley Ward,Mobile App Development,1910.11,305.07,36.68,Paid,1641.72,2023-02-25,Company A
46,2023-05-16,"05926 Blake Meadows, Lake Josephland, AZ 29064",Lee-Padilla,johnsonjane@lewis.com,Singapore,+1-576-564-4941,Kathleen Miller,Web Development,1155.04,90.33,24.12,Paid,1088.83,2023-05-31,Company A
58,2022-12-07,"4177 Emily Shore, Alexfort, GU 40383",Smith Inc,rwebb@torres-gray.info,Gabon,(663)941-8484,Robert May,UI/UX Design,502.57,15.5,38.32,Pending,525.39,2022-12-29,Company B
81,2022-09-24,"238 Jonathan Glen, Matthewchester, MP 93088","Castro, Morrow and Avila",ccollins@garcia.org,Egypt,(569)400-0745x72805,Kristine Lopez,AI Solution,9749.01,803.62,553.58,Pending,9498.97,2022-10-24,Company B
27,2022-08-20,"04423 Colon Ramp, New Elizabethhaven, AK 39284",Choi LLC,wayneburns@murray.com,British Virgin Islands,829.904.3991,Jonathan Kaiser,UI/UX Design,380.75,28.58,35.3,Paid,387.47,2022-09-11,Company B
48,2022-07-17,"0159 Erin Station Apt. 121, West Emilyview, MT 47623",Moss-Gilbert,rbauer@rodriguez-kelly.com,Chile,530.537.0228,Andrew Yoder,Web Development,1117.68,41.67,100.6,Paid,1176.61,2022-08-09,Company B
42,2023-06-09,"6468 Gregory Creek Apt. 009, Masseyland, GA 75755","Thompson, Collier and Moss",tim53@cain.com,Maldives,465-245-8742,William Day,Mobile App Development,4156.1,188.01,157.6,Paid,4125.69,2023-07-08,Company D
97,2023-05-20,"345 Weaver Junctions Apt. 437, Lake Jamesborough, GU 62105",Oneal-Mcintosh,craigmason@lowe.com,Mozambique,379-565-1427x993,Billy Mckee MD,Mobile App Development,2385.74,53.32,154.77,Paid,2487.19,2023-05-31,Company D
11,2022-07-28,"Unit 8808 Box 6911, DPO AE 79402","Davis, Wells and Estes",brandoncruz@martin-butler.com,Gibraltar,(801)637-8577x658,Nicholas Good,AI Solution,7387.93,429.62,187.75,Overdue,7146.06,2022-08-23,Company E
84,2022-10-14,"3166 Preston Wells Apt. 441, Port Jerry, ND 06555",Valentine LLC,nicolejohnson@carpenter.com,Timor-Leste,337.766.0007x70265,Yvonne Barrett,IoT Solution,2177.23,347.98,152.49,Pending,1981.74,2022-11-06,Company B
55,2023-03-20,"2173 Mullen Streets Suite 613, New Shaunstad, AR 71432","Figueroa, Owen and Perez",velezalan@watson.info,Latvia,6856333816,Melissa Ryan,AI Solution,7530.87,185.33,340.98,Overdue,7686.52,2023-04-08,Company E
4,2023-01-04,"PSC 2568, Box 7749, APO AE 31531",Campbell Ltd,thomasdylan@brandt.com,Kazakhstan,798.519.8163x783,Christopher Thompson,UI/UX Design,663.04,21.18,53.24,Paid,695.1,2023-01-16,Company B
40,2022-09-23,"387 Michelle Route, Carolburgh, LA 87888",Neal LLC,david11@townsend-lewis.com,Italy,+1-435-219-1936x0890,Alexis Weaver,UI/UX Design,347.31,8.29,14.8,Pending,353.82,2022-10-14,Company B
64,2022-10-21,"1472 David Mount Apt. 240, West Larryton, KY 94976",Humphrey-Johnston,hharding@hall.org,Ethiopia,3897638715,Charles Williamson,Web Development,735.13,17.24,69.84,Paid,787.73,2022-10-29,Company C
53,2022-08-04,"126 Moreno Plains, North Charlene, MD 38248",Conner Ltd,petersstephanie@rodriguez-reid.info,Turks and Caicos Islands,001-731-252-3772x41523,Tyler Johnson,IoT Solution,5074.06,651.84,313.69,Overdue,4735.91,2022-08-20,Company C
18,2022-09-02,"05007 Joseph Ways Suite 661, South Sarah, NE 85170",Davis Group,mary41@turner-mahoney.org,Mongolia,(972)683-6261x5257,Edward Stout,IoT Solution,3282.62,191.56,205.87,Paid,3296.93,2022-09-22,Company E
22,2023-03-16,"6560 Butler Walks Suite 305, Jenniferton, VI 94471","Fuentes, Moses and Zimmerman",lharrison@butler.com,Nauru,(429)876-4757x1416,Matthew Johnson,Mobile App Development,1252.25,72.87,104.15,Overdue,1283.53,2023-03-30,Company E
14,2022-11-23,"PSC 5594, Box 0436, APO AA 90551",Hughes-Mckinney,garciarachel@king-garcia.info,Luxembourg,339.587.4420x6849,Carrie Leon,UI/UX Design,328.09,58.1,15.65,Paid,285.64,2022-12-13,Company E
32,2022-11-23,"4141 Gordon Station, Port Jameschester, NC 65778",Ray-Aguilar,reyeskristen@garcia-daniel.com,Denmark,001-593-708-1500,Teresa Cole,UI/UX Design,897.58,23.61,10.35,Paid,884.32,2022-12-16,Company C
2,2023-01-21,"USNS Lewis, FPO AA 44202",Pearson Inc,omarshall@ellis.com,British Virgin Islands,(905)952-8283,Joseph Calhoun,Mobile App Development,3701.35,195.28,329.94,Overdue,3836.01,2023-02-13,Company C
59,2022-09-15,"4827 Sarah Road, Lake Amandachester, UT 37689",Schultz-Hamilton,christopher58@salazar.info,Canada,6682857187,Sandra Cruz,AI Solution,4323.98,356.19,278.27,Paid,4246.06,2022-10-06,Company C
21,2023-05-04,"7787 Amanda Forges Apt. 710, Monicatown, OK 45720","Hall, Ross and Johnson",schwartzchloe@martinez-vasquez.info,Senegal,(238)692-6015,Anita Rivera,E-commerce Development,1991.95,157.76,19.02,Overdue,1853.21,2023-05-16,Company E
71,2022-08-15,"PSC 4411, Box 5117, APO AA 24188",Gregory-Tanner,mitchellphillips@hernandez.com,Pakistan,(955)867-6649x0271,Craig Simmons,E-commerce Development,4959.9,169.75,181.05,Paid,4971.2,2022-08-24,Company B
72,2023-02-19,"50615 Garcia View, New Rickyshire, NM 59817",Lee Group,nicolecole@harris.org,United States Virgin Islands,869.672.7505,Brittany Hill,Web Development,2221.35,325.73,53.29,Pending,1948.91,2023-03-10,Company A
17,2022-11-22,"9875 Jessica Landing Suite 302, Michaelton, PW 20397",Day-Osborne,emily68@reed.com,Oman,(580)844-7497x9301,Alan Carpenter,Mobile App Development,1782.24,319.25,104.13,Overdue,1567.12,2022-12-03,Company D
27,2022-10-04,"437 Charles Ridges Suite 993, Amandamouth, PR 33763",Peterson Inc,cynthia94@butler-ellison.com,Kiribati,001-692-375-7453x11330,Lisa Young,Web Development,2504.62,411.6,9.76,Paid,2102.78,2022-10-21,Company E
33,2023-01-11,"Unit 1960 Box 0596, DPO AE 41340",Reed-Lindsey,chambersholly@choi.org,Solomon Islands,+1-353-411-3451,Mark Rodriguez,UI/UX Design,202.27,24.96,2.43,Pending,179.74,2023-01-23,Company B
70,2023-02-07,"647 Owen Circles, North Justin, RI 52972",Reid Inc,fpadilla@mora.com,Wallis and Futuna,850-652-7613,Olivia Moss,E-commerce Development,4445.53,709.03,156.16,Pending,3892.66,2023-03-08,Company B
37,2023-03-03,"57060 Peters Port Suite 736, Stevenbury, NV 81103",Burns-Smith,davisjohn@allen-garcia.com,China,(388)976-5775x9047,Tiffany Lang,UI/UX Design,641.14,28.82,7.86,Pending,620.18,2023-03-30,Company D
45,2023-01-25,"736 Cameron Hills Apt. 972, Jasonland, WV 44847","Delgado, Bishop and Edwards",mgarcia@davis.com,Israel,(223)888-2034,Steven Stanton,E-commerce Development,2226.47,46.12,159.34,Pending,2339.69,2023-02-22,Company D
65,2023-03-10,"8655 Tracey Lodge Apt. 452, West Moniqueland, FL 82105","Combs, Goodman and Thompson",aparks@hanson-moore.net,Faroe Islands,001-675-683-3301,Deborah Kerr,AI Solution,9768.34,249.47,249.19,Pending,9768.06,2023-04-06,Company A
79,2023-01-31,"5159 Dustin Grove, Port Erichaven, AS 93904",King LLC,bwalker@fox-nelson.org,Namibia,(252)549-5319,Margaret Day,E-commerce Development,4492.24,392.53,111.59,Pending,4211.3,2023-02-26,Company A
25,2023-02-04,"8460 Small Manor, North Tamara, AK 19301","Payne, Oneal and Campbell",jgraham@rubio.com,Northern Mariana Islands,+1-403-461-1952x74519,Ernest Faulkner,Mobile App Development,4166.52,102.37,212.14,Overdue,4276.29,2023-02-20,Company C
43,2023-03-08,"732 Maxwell Lakes, Lake Sarahland, IN 98311",Roy-Washington,jeffreymoreno@howard-hatfield.org,Zimbabwe,442-542-4798x98177,Benjamin Guerra,Mobile App Development,2422.85,467.55,195.98,Pending,2151.28,2023-03-27,Company C
35,2023-01-30,"PSC 4894, Box 7144, APO AA 30647",Galvan-Sandoval,princecalvin@smith.com,United Kingdom,(832)928-8519x4529,Christopher Miller,Web Development,2307.89,337.35,117.62,Overdue,2088.16,2023-02-06,Company A
57,2022-08-06,"USS Robinson, FPO AP 62659",Giles-Miller,corey71@rios.com,Niue,001-884-994-3714x4010,Erik Shaw,AI Solution,9245.58,1168.02,289.15,Pending,8366.71,2022-08-25,Company C
96,2023-02-23,"7171 Derek Summit Apt. 933, Wagnerchester, CT 25000","Morris, Miller and Stevenson",jacobjackson@hoffman-bell.biz,South Georgia and the South Sandwich Islands,+1-339-821-5305,Brad Harper,AI Solution,7598.78,581.66,249.54,Paid,7266.66,2023-03-25,Company C
13,2023-05-23,"487 Duncan Well, Cookmouth, IN 85835","Cooper, Tyler and Wilson",thomasfoster@wright-mcdonald.com,Nigeria,+1-809-612-1920x095,Adam Davis,Web Development,1380.93,71.13,1.64,Paid,1311.44,2023-06-10,Company B
54,2022-10-18,"715 Powers Road Suite 522, Boydside, MD 45824","Adams, Baker and Russo",jrivera@oneill.com,Guadeloupe,261-990-7326,Brian Mason,Web Development,1136.41,117.49,18.88,Overdue,1037.8,2022-11-06,Company A
7,2022-12-17,"PSC 7279, Box 6024, APO AA 87805",Carpenter Group,xlee@calderon.com,Colombia,(582)987-9765,Miguel Gilbert,IoT Solution,4914.3,427.78,160.42,Pending,4646.94,2022-12-30,Company A
81,2022-11-19,"8408 Palmer Creek Apt. 086, Samanthastad, VA 73917",Vazquez PLC,scottcrawford@keller.com,Venezuela,5555928753,Brandon Smith MD,Web Development,2701.78,173.73,45.46,Overdue,2573.51,2022-12-01,Company C
26,2023-01-18,"Unit 9148 Box 0545, DPO AE 61534",Myers-Mclean,wlowe@duncan.com,Azerbaijan,635.683.4196,Anna Jimenez,IoT Solution,4945.2,344.34,169.59,Paid,4770.45,2023-02-11,Company A
57,2022-09-28,"8544 Scott Lock Suite 475, Brandonborough, TX 53839",Knight LLC,trichard@miller.com,Jordan,+1-589-722-7487x54075,Jennifer Brown,IoT Solution,3676.62,548.39,98.01,Pending,3226.24,2022-10-27,Company D
17,2022-12-23,"551 Jacqueline Ridge, North Carmen, OH 89768",Murray Group,davistheresa@franklin.com,Guam,352.342.9139,Sandra Flores,Web Development,1558.59,121.5,48.39,Pending,1485.48,2023-01-11,Company B
79,2023-03-14,"108 Mendoza Square, Ronaldside, AZ 49737","Wall, Smith and Carlson",kharmon@stevens.com,Slovenia,623-743-0022,Michael Rodriguez,Mobile App Development,4124.84,411.04,11.4,Overdue,3725.2,2023-04-13,Company C
31,2022-11-24,"591 Gilbert Centers Suite 599, South Timothyville, IA 84628",Gibbs Inc,christian02@flores-todd.info,Uzbekistan,001-609-944-1026x5686,Ashley Johnson,IoT Solution,3622.04,22.76,9.66,Paid,3608.94,2022-12-12,Company E
62,2022-09-13,"5994 Michael Isle Suite 379, Port Karenton, WY 29812",Johnson PLC,michelleharris@summers.info,Oman,+1-727-725-9630x4094,Michaela Franco,Web Development,1702.84,61.61,24.09,Pending,1665.32,2022-09-28,Company A
85,2023-02-07,"9605 Moody Cape Suite 118, Ortegaborough, OR 30959","Sutton, Anderson and Martin",vincent19@sherman-lopez.org,Botswana,8432529233,Amanda Mccarthy,UI/UX Design,744.42,18.66,65.61,Pending,791.37,2023-03-09,Company E
100,2022-12-13,"40863 Arthur Roads, Nelsonfurt, CO 96642",Huffman Group,christian19@walker.info,Greenland,(572)345-9964x41800,Christopher Pitts,Web Development,1333.78,147.49,110.7,Pending,1296.99,2022-12-30,Company C
97,2023-02-26,"778 Myers Knoll Apt. 030, West Justin, NY 62805",Henderson-Best,tammy66@king.com,Saint Vincent and the Grenadines,001-715-747-4441x7383,William Olson,AI Solution,7191.36,46.94,578.09,Pending,7722.51,2023-03-23,Company C
75,2022-07-14,"44478 Ronald Stream, West Vanessaport, SC 31554",Mercado-Duncan,jennifer51@martin.org,Barbados,001-717-590-3191x0687,Randy Atkinson,Mobile App Development,2385.94,413.19,197.1,Overdue,2169.85,2022-08-02,Company B
93,2022-12-19,"698 Martinez Lake, Tammytown, MS 53298",Jones-Watkins,awolfe@peterson.biz,France,+1-983-264-3262,Ethan Wilson,UI/UX Design,732.9,142.16,45.85,Overdue,636.59,2023-01-10,Company E
59,2023-01-01,"Unit 2174 Box 2151, DPO AE 23110",Butler Group,jamesjohn@anderson-jones.net,Norway,001-952-335-1477x3695,Jennifer Rosales,Web Development,1080.95,210.12,28.76,Overdue,899.59,2023-01-26,Company D
79,2023-02-10,"25395 Chambers Passage Apt. 444, Waltonstad, NM 45807","Parsons, Hall and Miller",vmitchell@pennington.net,Barbados,(929)397-5109x3131,Shane Richards,AI Solution,4809.2,408.87,45.33,Pending,4445.66,2023-02-22,Company B
92,2022-08-06,"PSC 4166, Box 0532, APO AP 43047","Davis, Chen and Murray",gpope@parks.com,Faroe Islands,815.966.3511x74209,Mark Patel,E-commerce Development,2940.91,588.15,15.65,Overdue,2368.41,2022-08-17,Company C
5,2023-04-22,"9235 William Lock, Bautistaton, ND 28949",Miles Inc,edgarsolomon@kelly.com,Yemen,(731)368-0272x4550,Felicia Higgins,Web Development,983.57,10.65,91.92,Pending,1064.84,2023-05-22,Company A
61,2022-12-27,"9186 Williams Springs, South Pamela, AZ 56416",Harper Group,richard46@chavez-hampton.com,Philippines,001-823-765-4942x13660,Martin Buchanan,E-commerce Development,3837.51,482.71,222.89,Overdue,3577.69,2023-01-20,Company A
7,2023-04-03,"8183 Ashley Junctions Suite 455, Lake Jason, FL 80003",Hill-Thompson,crystal04@russell.biz,China,282.462.2527x5207,John Ryan,Mobile App Development,1599.1,35.95,82.88,Pending,1646.03,2023-04-18,Company A
49,2023-06-26,"7821 Hansen Parkway Apt. 972, Nguyenhaven, IN 40318",Gillespie-Evans,peckemily@krueger.biz,Myanmar,791-474-7502x5402,Ryan Benjamin,E-commerce Development,2821.24,417.33,165.2,Overdue,2569.11,2023-07-16,Company E
4,2023-01-06,"666 Elizabeth Fork Suite 606, Juanstad, MD 25587",Townsend-Sellers,charles04@higgins.com,Congo,594.363.4867x24372,Lori Flynn,IoT Solution,6849.01,1042.84,570.26,Paid,6376.43,2023-01-22,Company A
